rep,run,shelf,plate,line,trt,read time,start,end,start count,end count,germinated,notes
1,1,9,296,153-2,15,1/28/16 8:50,198.62,246.33,3,6,3,
1,1,3,106,156-1,0,1/30/16 9:33,246.05,295.05,1,4,3,
1,2,3,80,163-1,10,2/13/16 8:31,60.15,108.02,0,3,3,
1,2,8,287,164-1,10,2/13/16 8:44,59.32,107.23,0,3,3,
1,1,8,284,165-1,0,1/22/16 8:47,54.13,102.28,0,3,3,
1,1,1,20,170-1,20,1/26/16 8:37,150.33,198.12,0,3,3,
1,1,2,50,173-2,0,,437.63,Inf,7,10,3,
1,1,4,113,173-2,15,1/26/16 8:49,150.48,198.32,3,6,3,
1,1,4,113,173-2,15,,437.9,Inf,7,10,3,
1,1,6,207,173-2,20,1/30/16 9:48,246.25,295.3,1,4,3,
