,sampleid,line,rep,run,shelf,plate,trt,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
144,CanAbasolo1,215-1,4,8,5,176,15,114.25,0,5,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
145,CanAbasolo1,215-1,3,6,3,94,20,Inf,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
146,CanAbasolo1,215-1,2,3,9,322,15,156.7,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
147,CanAbasolo1,215-1,3,6,7,248,10,312.03,0,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
148,CanAbasolo1,215-1,3,6,7,248,10,120.03,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
149,CanAbasolo1,215-1,4,8,8,276,10,356.75,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
150,CanAbasolo1,215-1,2,3,8,269,0,497.5,0,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
151,CanAbasolo1,215-1,4,8,2,56,20,Inf,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
152,CanAbasolo1,215-1,2,3,8,269,0,497.5,0,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
153,CanAbasolo1,215-1,4,8,8,276,10,164,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
154,CanAbasolo1,215-1,1,1,3,96,0,101.9833333,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
155,CanAbasolo1,215-1,1,1,7,245,20,198.4833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
156,CanAbasolo1,215-1,4,8,2,56,20,Inf,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
157,CanAbasolo1,215-1,1,1,3,96,0,246.05,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
158,CanAbasolo1,215-1,2,3,5,170,10,60.45,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
159,CanAbasolo1,215-1,3,6,1,17,0,264.06,0,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
160,CanAbasolo1,215-1,3,6,3,94,20,264.06,0,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
161,CanAbasolo1,215-1,2,3,5,170,10,60.45,1,2,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
162,CanAbasolo1,215-1,2,3,8,269,0,497.5,0,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
163,CanAbasolo1,215-1,2,3,8,269,0,157.05,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
