,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use
151,CanAbasolo1,215-1,8102.1,4,8,2,56,20,500,0,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
152,CanAbasolo1,215-1,6665.2,3,6,7,248,10,120.03,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
153,CanAbasolo1,215-1,6669,3,6,7,248,10,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
154,CanAbasolo1,215-2,1030,1,1,9,307,15,198.6166667,1,1,14CAg215-2,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
155,CanAbasolo1,215-2,7912,4,8,1,10,20,211,1,2,14CAg215-2,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
156,CanAbasolo1,215-2,5248,3,5,8,261,15,522,0,1,14CAg215-2,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
157,CanAbasolo1,215-2,7913.1,4,8,1,10,20,257,1,2,14CAg215-2,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
158,CanAbasolo1,215-2,8979,4,8,9,299,15,114.25,1,1,14CAg215-2,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
159,CanAbasolo1,215-2,2680.4,2,3,4,121,15,496,0,6,14CAg215-2,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
160,CanAbasolo1,215-2,2712.2,2,3,4,132,0,496,0,5,14CAg215-2,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
161,CanAbasolo1,215-2,5379,3,5,9,291,20,254,1,2,14CAg215-2,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
