"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"1088",1088,"CanAnil3","77-2",2677.4,2,"3",4,120,20,158.2,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_120"
"1089",1089,"CanAnil3","77-2",7745.3,4,"7",6,202,15,203.7,1,6,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_202"
"1091",1091,"CanAnil3","77-2",2677.5,2,"3",4,120,20,158.2,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_120"
"1092",1092,"CanAnil3","77-2",2068,1,"2",8,265,0,155.3,1,4,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_265"
"1093",1093,"CanAnil3","77-2",3163.8,2,"3",8,288,15,157.1,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_288"
"1095",1095,"CanAnil3","77-2",3163.7,2,"3",8,288,15,157.1,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_288"
"1096",1096,"CanAnil3","77-2",7745.2,4,"7",6,202,15,203.7,1,6,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_202"
"1097",1097,"CanAnil3","77-2",5317,3,"5",8,278,15,109.5,1,7,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_278"
"1098",1098,"CanAnil3","77-2",2677.3,2,"3",4,120,20,158.2,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_120"
"1099",1099,"CanAnil3","77-2",1867.7,1,"2",6,212,15,155.5,1,9,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_212"
"1100",1100,"CanAnil3","77-2",3163.9,2,"3",8,288,15,157.1,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_288"
"1101",1101,"CanAnil3","77-2",2067.4,1,"2",8,265,0,107.2,1,5,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_265"
"1103",1103,"CanAnil3","77-2",7745,4,"7",6,202,15,203.7,1,6,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_202"
"1106",1106,"CanAnil3","77-2",1325,1,"2",2,68,20,156.2,1,3,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_68"
"1107",1107,"CanAnil3","77-2",1867.8,1,"2",6,212,15,155.5,1,9,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_212"
"1108",1108,"CanAnil3","77-2",2677.2,2,"3",4,120,20,158.2,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_120"
"1110",1110,"CanAnil3","77-2",1326.1,1,"2",2,68,20,206.2,1,5,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_68"
"1111",1111,"CanAnil3","77-2",2677.8,2,"3",4,120,20,158.2,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_120"
"1112",1112,"CanAnil3","77-2",5318,3,"5",8,278,15,156.8,1,3,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_278"
"1113",1113,"CanAnil3","77-2",3163.2,2,"3",8,288,15,157.1,1,10,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_288"
"1114",1114,"CanAnil3","77-2",2069,1,"2",8,265,0,205.5,1,1,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_265"
"1115",1115,"CanAnil3","77-2",2068.3,1,"2",8,265,0,155.3,1,4,"14CRo77-2","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","2_265"
