"","X","sampleid","line","rep","run","shelf","plate","trt","read.time","start","end","start.count","end.count","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"109",983,"CanLobera1","140-2",1,1,1,12,15,"2/5/16 8:08",389.88,437.63,2,2,0,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
"110",996,"CanLobera1","140-2",1,1,1,12,15,"",437.63,Inf,2,10,8,"","14CAg140-2","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
"111",1921,"CanSBalta1","187-2",1,1,1,13,10,"1/20/16 8:30",0,54,0,0,0,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"112",1928,"CanSBalta1","187-2",1,1,1,13,10,"1/22/16 8:24",54,101.9,0,0,0,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"113",1898,"CanSBalta1","187-2",1,1,1,13,10,"1/24/16 8:50",101.9,150.33,0,1,1,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"114",1916,"CanSBalta1","187-2",1,1,1,13,10,"1/26/16 8:37",150.33,198.12,1,3,2,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"115",1893,"CanSBalta1","187-2",1,1,1,13,10,"1/28/16 8:28",198.12,245.97,3,9,6,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"116",1903,"CanSBalta1","187-2",1,1,1,13,10,"1/30/16 9:25",245.97,294.92,9,9,0,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"117",1920,"CanSBalta1","187-2",1,1,1,13,10,"2/1/16 8:32",294.92,342.03,9,10,1,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"118",1909,"CanSBalta1","187-2",1,1,1,13,10,"2/3/16 8:23",342.03,389.88,10,10,0,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"119",1894,"CanSBalta1","187-2",1,1,1,13,10,"2/5/16 8:08",389.88,437.63,10,10,0,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"120",1918,"CanSBalta1","187-2",1,1,1,13,10,"",437.63,Inf,10,10,0,"","14Tus187-2","11/10/14","Tus",37,"Sierra Madre de la Sur","Tus_39","landrace","Tusta","","Fresh-Dry"
"121",1035,"CanLobera1","140-1",1,1,1,14,0,"1/20/16 8:30",0,54,0,0,0,"","14CAg140-1","11/10/14","CAg",14,"Central Valleys","CAg_26","landrace","Chile de Agua","Milpa","Fresh"
